Temperatura_Max,Temperatura_Min,Umidade_Max,Ventania,Precipitacao,Nuvem,Pressao
27.2,13.9,89.1,9.5,0.0,8.0,1020.1
27.2,13.9,89.4,9.2,0.0,8.0,1020.2
27.2,13.8,85.8,8.9,0.0,8.0,1020.7
27.2,13.8,82.5,8.6,0.0,8.0,1021.2
27.2,13.8,79.2,8.4,0.0,8.0,1021.7
27.2,13.8,72.0,8.3,0.0,7.0,1020.9
27.2,13.8,65.6,7.7,0.0,6.0,1020.1
27.2,13.9,59.8,7.3,0.0,5.0,1019.3
26.3,13.9,61.1,7.3,0.0,4.0,1018.6
25.5,14.0,62.4,7.5,0.0,3.0,1017.8
24.7,14.1,63.7,7.8,0.0,3.0,1017.1
22.2,14.1,70.3,7.8,0.0,4.0,1017.6
21.7,14.1,77.7,7.8,0.0,6.0,1018.1
21.7,14.1,85.9,7.9,0.0,8.0,1018.7
21.7,14.1,88.6,7.9,0.0,8.0,1019.1
21.7,14.1,91.4,7.6,0.0,8.0,1019.5
21.7,14.1,94.3,7.3,0.0,8.0,1019.9
21.7,14.1,94.0,7.0,0.0,8.0,1019.7
21.7,14.1,93.7,6.8,0.0,8.0,1019.5
21.7,14.1,93.4,6.6,0.0,8.0,1019.4
21.7,14.1,93.6,6.4,0.0,8.0,1018.7
21.7,14.1,93.8,5.9,0.0,8.0,1018.1
21.7,14.1,94.1,5.5,0.0,8.0,1017.4
21.7,14.1,94.8,5.8,0.0,8.0,1017.8
21.7,14.1,94.7,5.8,0.0,8.0,1018.1
21.6,14.1,96.3,5.8,0.0,8.0,1018.5
21.6,14.8,86.7,5.5,0.0,5.0,1018.9
21.6,15.1,78.0,4.9,0.0,3.0,1019.2
21.6,15.1,70.3,4.5,0.0,0.0,1019.6
24.5,15.1,58.6,4.4,0.0,0.0,1018.7
27.6,15.0,49.0,2.7,0.0,0.0,1017.8
30.7,14.9,41.2,1.2,0.0,0.0,1016.9
31.6,14.7,35.8,1.5,0.0,0.0,1015.8
32.6,14.7,31.1,2.3,0.0,1.0,1014.7
33.6,14.6,27.0,3.1,0.0,1.0,1013.6
33.7,14.6,34.5,3.4,0.0,1.0,1014.2
33.7,14.6,44.0,4.6,0.0,1.0,1014.8
33.7,14.6,56.0,5.7,0.0,1.0,1015.3
33.7,14.6,65.8,5.7,0.0,0.0,1016.2
33.7,14.6,77.3,5.1,0.0,0.0,1017.0
33.7,14.6,90.9,4.4,0.0,0.0,1017.8
33.7,14.8,92.5,4.8,0.0,0.0,1018.0
33.7,15.0,94.1,5.7,0.0,0.0,1018.1
33.7,15.0,95.8,6.6,0.0,0.0,1018.2
33.7,15.0,93.9,6.6,0.0,0.0,1017.8
33.7,15.0,92.0,6.3,0.0,0.0,1017.5
33.7,15.0,90.2,6.0,0.0,0.0,1017.1
33.7,15.0,91.1,5.7,0.0,0.0,1017.5
33.7,15.0,92.0,5.5,0.0,0.0,1018.0
33.6,15.0,93.0,5.2,0.0,0.0,1018.5
33.6,16.1,75.2,5.0,0.0,0.0,1019.0
33.6,16.1,61.0,5.0,0.0,0.0,1019.5
33.6,16.1,49.7,4.5,0.0,0.0,1020.0
33.6,16.1,37.1,2.9,0.0,0.0,1019.2
33.6,16.1,27.7,1.7,0.0,0.0,1018.4
34.3,16.1,20.6,1.0,0.0,0.0,1017.6
34.4,16.0,19.5,2.1,0.0,0.0,1016.9
34.6,16.0,18.5,3.4,0.0,0.0,1016.1
34.9,16.0,17.5,4.7,0.0,0.0,1015.4
35.0,16.0,22.5,5.3,0.0,0.0,1015.7
35.0,16.0,28.8,6.2,0.0,0.0,1016.0
35.0,16.0,36.8,7.1,0.0,0.0,1016.3
35.0,16.0,43.3,7.1,0.0,0.0,1016.9
35.0,16.0,50.9,6.5,0.0,0.0,1017.5
35.0,16.0,59.9,6.4,0.0,0.0,1018.1
35.0,16.0,57.3,6.6,0.0,0.0,1018.1
35.0,16.0,54.8,6.9,0.0,0.0,1018.1
35.0,16.0,52.4,7.2,0.0,0.0,1018.1
35.0,16.0,52.9,7.2,0.0,0.0,1017.7
35.0,16.0,53.5,6.8,0.0,0.0,1017.3
35.0,16.0,54.0,6.3,0.0,0.0,1016.9
35.0,16.0,56.7,5.9,0.0,0.0,1017.2
35.0,16.0,59.4,5.6,0.0,0.0,1017.5
34.9,16.0,62.4,5.3,0.0,0.0,1017.8
34.9,17.3,52.7,5.2,0.0,0.0,1018.2
34.9,17.3,44.6,5.5,0.0,0.0,1018.6
34.9,17.3,37.9,5.8,0.0,0.0,1019.0
34.9,17.3,31.9,5.8,0.0,0.0,1018.2
34.9,17.3,26.8,5.5,0.0,0.0,1017.3
34.9,17.3,22.5,5.2,0.0,0.0,1016.5
34.9,17.3,18.9,4.9,0.0,0.0,1015.6
34.9,17.3,15.9,4.6,0.0,0.0,1014.7
35.1,17.3,13.3,4.5,0.0,0.0,1013.9
35.2,17.3,16.7,4.5,0.0,0.0,1014.3
35.2,17.3,20.8,4.9,0.0,0.0,1014.8
35.2,17.3,26.0,5.3,0.0,0.0,1015.2
35.2,17.3,32.3,5.8,0.0,0.0,1015.7
35.2,17.3,40.2,6.3,0.0,0.0,1016.2
35.2,17.3,49.9,6.8,0.0,0.0,1016.6
35.2,17.3,50.4,6.8,0.0,0.0,1016.4
35.2,17.3,51.0,6.5,0.0,0.0,1016.1
35.2,17.3,51.5,6.2,0.0,0.0,1015.8
35.2,17.3,52.1,5.9,0.0,0.0,1015.6
35.2,17.1,52.7,5.6,0.0,0.0,1015.3
35.2,16.0,53.3,5.4,0.0,0.0,1015.1
35.2,15.9,48.9,5.2,0.0,0.0,1015.4
35.2,15.9,45.0,5.3,0.0,0.0,1015.7
35.2,15.9,41.4,5.5,0.0,0.0,1016.0
35.2,15.9,38.1,5.6,0.0,0.0,1016.3
35.2,15.9,35.2,5.7,0.0,0.0,1016.5
35.2,15.9,32.5,5.9,0.0,0.0,1016.8
35.2,15.9,27.3,5.9,0.0,0.0,1015.8
35.2,15.9,22.9,5.1,0.0,0.0,1014.7
35.2,15.9,19.3,4.4,0.0,0.0,1013.7
35.2,15.9,16.2,3.7,0.0,0.0,1012.6
35.2,15.9,13.6,3.0,0.0,0.0,1011.6
36.4,15.9,11.4,2.3,0.0,0.0,1010.5
36.4,15.9,14.6,2.1,0.0,0.0,1010.9
36.4,15.9,18.5,2.5,0.0,0.0,1011.4
30.8,16.5,37.0,7.1,0.0,0.0,1014.4
30.8,16.5,41.2,7.8,0.0,0.0,1015.1
30.8,16.5,38.0,7.8,0.0,0.0,1015.7
30.8,16.5,39.7,7.6,0.0,0.0,1016.5
30.8,16.5,43.9,7.0,0.0,0.0,1017.2
30.8,16.8,46.4,5.7,0.0,0.0,1017.5
30.8,16.8,44.9,6.1,0.0,0.0,1017.5
30.8,16.8,45.2,6.3,0.0,0.0,1017.3
30.8,16.8,44.0,6.3,0.0,0.0,1016.7
30.8,16.8,40.8,6.1,0.0,0.0,1016.2
30.8,16.9,39.6,6.4,0.0,0.0,1015.6
30.8,17.0,40.5,6.9,0.0,0.0,1015.4
30.8,17.1,40.1,7.6,0.0,0.0,1015.8
30.8,17.1,39.4,8.4,0.0,0.0,1016.4
30.8,17.1,37.5,8.9,0.0,0.0,1017.1
30.8,17.1,32.2,9.0,0.0,0.0,1017.8
